ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis 
Dom na Boču,761,Karavanke,698,"koča, cerkev",82,457,5,"Dom na Boču se nahaja na večji ravnini pod jugozahodnimi pobočji Boča. Od doma oziroma bližnje okolice je lep pogled proti vrhu Boča, kjer se lepo vidijo oddajniki in razgledni stolp. V bližini planinskega doma pa se nahaja manjša cerkvica posvečena Svetemu Miklavžu."
Dom na Kofcah,223,Karavanke,1488,"koča, cerkev, planina",99,14,12,"Planinski dom se nahaja na razgledni planini Kofce, le ta pa na južnih pobočjih zahodnega dela Košute. Od doma, ki je stalno odprt v poletni sezoni, sicer pa ob sobotah, nedeljah in praznikih, če je seveda lepo vreme, se nam odpre lep razgled po že omenjenem grebenu, goram nad Jezerskim, kjer izstopajo osrednji Grintovci, Begunjščici ter delu Julijskih Alp v ozadju.<br>Nekaj minut hoda od doma v smeri Mrzlega studenca oz. Jelendola, pa se nahaja manjša kapela, v kateri je vsako nedeljo v juliju in avgusta sv. Maša."
Dom na Paškem Kozjaku,740,Karavanke,960,koča,77,573,2,"Dom na Paškem Kozjaku se nahaja nad dolino reke Pake vzhodno od Velenja in južno od Mislinje. Do doma se lahko pripeljemo z avtomobilom in sicer iz Velenja, Gornjega in Srednjega Doliča in iz Dobrne ali pa se na izlet odpravimo peš. Dom je lepa izhodiščna točka za vzpon na Basališče, ki je najvišja točka Paškega Kozjaka."
Dom na Peci,670,Karavanke,1665,koča,89,289,7,"Dom na Peci se nahaja na vzhodnem delu pogorja Pece. Dom je odprt od maja do oktobra, v zimskem času pa ob sobotah, nedeljah in praznikih, če je lepo vreme. Ker je v bližini koče gozd ni lepega razgleda. Za razgled se moramo povzpeti na manj kot 10 minut oddaljen vrh Male Pece. V bližini koče je tudi votlina Kralja Matjaža, do nje pridemo v desetih minutah lahkotne hoje. Nekoliko pod domom se nahaja še kapela sv. Cirila in Metoda."
Dom na Tromeji,303,Karavanke,1145,koča,86,342,2,"Dom na Tromeji se nahaja ob robu večjega travnika, le ta pa na južnih do jugovzhodnih pobočjih bližnje Peči. Od doma, ki je že nekaj časa stalno zaprt, se nam odpre lep razgled na Julijske Alpe, predvsem gore nad prelazom Vršič in dolino Tamar."
Dom na Uršlji gori,2509,Karavanke,1680,"koča, cerkev",21,1984,10,"Dom na Uršlji gori se nahaja malo pod vrhom Uršlje gore oz. Plešivca. Ob domu se nahaja najvišje ležeča cerkev v Sloveniji, ki je posvečena sv. Uršuli. Od doma oz. njegove bližnje okolice se nam odpre lep razgled na Koroško, Saleško dolino in velik del Štajerske. Za razgled proti zahodu pa se je vredno povzpeti na slabih 10 minut oddaljen vrh Uršlje gore."
Dom na Zelenici,91,Karavanke,1536,koča,97,85,6,"Dom na Zelenici (planinska koča II. kategorije) je planinska postojanka, ki stoji na Zeleniškem sedlu med obmejnim grebenom Na Možeh na severu in ostenjem Begunjščice na jugu. Območje Zelenice je znano zimskošportno središče.<br>Dom je odprt od petka popoldne do nedelje zvečer in vse praznike (dan pred praznikom popoldne do zadnjega dneva praznikov zvečer). Za skupine tudi po dogovoru.<br>Ležišča v sobah - 70  (1 x 2-posteljna soba, 1 x 3-posteljna soba, 1 x 4-posteljna soba, 3 x 5-posteljna soba, 2 x 8-posteljna soba, 3 x 10-posteljna soba-skupna ležišča),dodatna zasilna ležišča v primeru zasedenosti koče.<br>Jedilnica 70 sedežev<br>Predavalnica 30 sedežev<br>Obiskovalcem koče je na voljo brezplačen brezžični dostop do interneta, ki bo koristen predvsem za potrebe izvajanja dejavnosti Gorniškega učnega centra.<br>Zgodovina: Dom stoji na mali ravnici Zeleniškega sedla med severnim ostenjem Begunjščice in južnim pobočjem obmejnega grebena Na Možeh. Prvo kočo na Zelenici je leta 1929 zgradilo pet zasebnikov, vendar je niso hoteli dati v najem Tržiški podružnici SPD; koča je bila med okupacijo požgana. Leta 1950 so začeli graditi planinski dom delavci šole milice, ki je bila takrat v Begunjah; nedokončani dom je 15. decembra 1952 prevzelo v najem PD Tržič, ki ga je zasilno usposobilo in naslednje leto tudi odprlo. S pogodbo med RSNZ, ki je bil lastnik zgradbe, in PZS, je 24. julija 1962 dobilo PD Tržič objekt v trajno last. Postojanko so po prevzemu popolnoma dokončali in opremili ter jo slovesno odprli 19. januarja 1966. Leta 1992 so nadzidali vhodni prizidek in s tem pridobili učno sobo. Dom je decembra 1999 popolnoma pogorel. Društvo ga je obnovilo, zgradilo in je od leta 2011 ponovno odprt.<br>Dom ima tudi Gorniški učni center Zelenica, ki ga vodi Stanko Koblar, 040 627 808.<br>Razgledi: Od doma ali s kake bližnje razglednejše točke je zaradi bližnjih vrhov in grebenov omejen, a je zato pogled na bližnjo okolico toliko lepši. Od bližnje zgornje postaje sedežnice se odpre razgled na kamnito planoto med grebenom Ljubeljščice na severu in ostenji Begunjščice na južni strani planote, po kateri je speljana sedežnica ter naprej proti Šentanski dolini, nad katero se dviguje zahodni del Košute; celotno južno stran izpolnjujejo ostenja Begunjščice; na zahodni strani je valovita dolina Zelenica, nad njo se dviga Srednji vrh, ki zakriva pogled proti Stolu; na severozahodu je Vrtača; severno stran obroblja greben Na Možeh. Če se povzpnemo na razgledni vrh grebena, se odpre lep razgled na hribovito koroško pokrajino proti Dravi."
Dom Pristava v Javorniškem Rovtu,1177,Karavanke,975,koča,80,517,2,Dom Pristava se nahaja severno od Jesenic na pobočjih Javorniškega Rovta. V bližini koče je tudi večje število igral za otroke.
Dom v Dragi,1145,Karavanke,689,koča,62,972,1,"Dom oziroma gostišče v Dragi se nahaja ob vznožju Ovčenikov (1053m). Zaradi bližnjega gozda od doma ni razgleda, nam pa ta v vročih poletnih dneh nudi prijetno senco."
Donačka gora,837,Karavanke,884,vrh,96,95,4,"Donačka gora je vrh, ki se nahaja severno od Rogatca. Z vrha, ki geografsko spada med Karavanke je lep razgled po bližnji in daljni okolici. Z zahodnega vrha na katerem je postavljen visok kamnit križ se lepo vidi Boč z okolico, ob lepem vremenu pa pogled seže od osrednjih Kamniško Savinjskih Alp do Pohorja. Na zahodnem vrhu je tudi vpisna skrinjica in slovenska zastava. Delno že omenjeno ima Donačka gora dva med seboj skoraj enako visoka vrhova, zahodnega in vzhodnega. Večina planincev vzpon konča na zahodnem vrhu, le redki pa vzpon podaljšajo na 20 minut oddaljen vzhodni tehnično bolj zahteven vrh. Na vzhodni vrh pa lahko pridemo tudi po krajši plezalni poti."
Doslovška planina,2563,Karavanke,1210,planina,13,2187,1,"Doslovška planina je manj znana planina, ki se nahaja na pobočjih Stola, najvišjega vrha Karavank. Na planini se nahaja lepo vzdrževana koča, nekaj metrov stran pa ruševine nekdanje pastirske koče."
Dovška Baba,275,Karavanke,1891,vrh,97,88,8,"Dovška Baba je 1891 m visok vrh, ki se nahaja na mejnem grebenu med Slovenijo in Avstrijo. Z vrha, ki ima vpisno skrinjico in žig, se nam odpre lep razgled na najvišje vrhove Julijskih Alp, zahodnih in osrednjih Karavank, Avstrijo in večji del Gornjesavske doline."
Dovška Mala Kepa,478,Karavanke,2077,vrh,79,543,1,Manj znan vrh se nahaja med Kepo in Dovško Babo. Z vrha je lep razgled proti sosednji Kepi in Gubnemu. Lepo se vidi tudi del Julijskih Alp predvsem gore nad Mojstrano in Gozd-Martuljkom. Proti severu pa se vidi Avstrija s svojo Dravsko dolino.
Erjavčev rovt (Planina Mlinca),2437,Karavanke,1105,planina,19,2045,2,"Erjavčev rovt, tudi planina Mlinca se nahaja na pobočju Karavank, točneje med potokoma Mlinca in Žakelj, le ta pa pod Dovško Babo in Kurjeki. Sredi planine se nahaja lesena pastirska koča, od koče pa pogled proti Jerebikovcu."
Formila na Boču,2366,Karavanke,624,,47,1345,3,"Formila na Boču oziroma travnik na Formilah je suhi travnik na katerem uspevajo številne rastlinske in živalske vrste. Še zlasti je dom številnih metuljev. Pomembno sečišče poti in na njem se nekje ,,prelomi,, studeniški in iz vzhoda makolski del Boča z rogaško/kostrivniškim. Pred desetletji imenovan tudi Veliki travnik, na Frmilah in danes jasa Formila. Zanimiva oaza miru, tišine in neokrnjene narave. Po legendi naj bi na tem mestu pred davnimi časi obstajala bogata vas. Prebivalci so bili prevzetni in brezbožni. Doživeli so kazen, celotna vas se je pogreznila skupaj s prebivalci."
Fričev vrh,1654,Karavanke,881,vrh,44,1408,2,"Fričev vrh je 881 m visok hrib, ki se nahaja južno od Mislinjske Dobrave. Z vrha, ki ima vpisno skrinjico in v njej vpisno knjigo in žig, zaradi gozda ni razgleda."
Gank,2644,Karavanke,850,vrh,10,2281,1,"Gank je zanimiv, delno razgleden, 850 m visok predvrh grebenastega hriba Alničje nad Koroško Belo pri Jesenicah. S tega sedlastega vrha se nam ponudi lep razgled na del Gorenjske, na Karavanke, sosednji Jelenkamen, ter na Jelovico in Ratitovec."
Golarjeva peč,2307,Karavanke,1276,vrh,42,1466,1,"Golarjeva peč je poraščen vrh, ki se nahaja med Klemenčjo pečjo in Strevčevo pečjo. S samega vrha se nam odpre lep razgled le proti Matkovi kopi in Mrzli gori, s pečine nekoliko naprej od vrha pa še proti Olševi in že prej omenjeni Strevčevi peči, z nekaj truda skozi krošnje dreves pa še na del Kamniško Savinjskih Alp."
Golica,252,Karavanke,1835,vrh,99,16,12,"Golica je neporaščen vrh, ki se nahaja severno od Jesenic. Z vrha, ki ima vpisno skrinjico je lep pogled na zahodne Karavanke in del Julijskih Alp s Triglavom. Najprimernejši čas za obisk Golice je mesec maj, saj na pobočjih Planine pod Golico takrat cvetijo narcise, ki krasijo okolico. Zaradi ohranja narcis, le teh ne trgajmo in s tem  dopustimo, da jih bodo občudovali še naslednji rodovi."
Gonžarjeva peč,1745,Karavanke,575,vrh,75,627,2,"Gonžarjeva peč, zadnje čase vse bolj poznana zaradi nove plezalne poti, se nahaja na vzpetini severozahodno od Vinske Gore. Na vrhu Gonžarjeve peči je vpisna skrinjica ter ob njej nekaj klopi. Z vrha pečine se nam odpre lep pogled na Vinsko Goro in okoliško hribovje."
Govca (Olševa),673,Karavanke,1929,vrh,97,77,12,"Govca je najvišji vrh Olševe, pogorja, ki se dviga nad Koprivno, Solčavo in Remšenikom (Remšenik / Remschenig je dolina na avstrijski strani Olševe). S travnatega vrha, katerim ima tudi vpisno skrinjico z vpisno knjigo in žigom, se nam odpre lep razgled proti Peci, Uršlji gori, Smrekovškemu pogorju, Raduhi, Logarski dolini in goram nad omenjeno dolino, Košuti, Obirju in delu Avstrije."
Govševa planina,2700,Karavanke,1300,planina,9,2299,2,"Govševa planina je prostrana planina, ki se nahaja severno od Olševe, v neposredni bližini meje z Avstrijo. V poletnem času na planini pasejo živino, sredi planine pa se nahaja novejši lesen križ."
Grad Konjice,885,Karavanke,515,vrh,50,1254,2,"Konjiški Stari grad, ki je bil zgrajen v 12. stoletju je en od najstarejših gradov pri nas. Z gradu, ki ga počasi obnavljajo je lep pogled na Slovenske Konjice in del Konjiške gore."
Grad Lindek,1921,Karavanke,695,vrh,55,1139,1,"Grad Lindek, ki se prvič omenja leta 1264, se nahaja na Grajskem hribu, le ta pa severno od Frankolovega. Z vrha, na katerem so danes le še razvaline nekdanjega gradu, se nam odpre lep razgled na Konjiško goro, Kislico in okoliške vasi."
Gradišče nad Sotesko (Soteska),2484,Karavanke,724,vrh,16,2132,2,"Gradišče nad Sotesko (tudi Soteska) je 724 m visok hrib, ki se nahaja na meji med naseljema Koroška Bela in Potoki, v občini Jesenice na Gorenjskem. Gre za povprečnemu očesu manj opazen vrh, ki pa je za okoliške naseljence v davni preteklosti imel veliko pomembnejšo vlogo kot jo ima danes.<br>O tem nam nekaj pove že njegovo ledinsko ime. Ko v neposredni bližini hriba pod južnim pobočjem še ni bilo akumulacijskega jeza za elektrarno Moste, je v tem predelu reka Sava tekla skozi sotesko, po kateri se je ohranilo del imena. V poznorimskem času (1.-4. stol. n.št.) je vrh nad sotesko v povezavi z višje ležečim gorskim zavetiščem na Ajdni predstavljal strateško pomembno točko vhoda (izhoda) v Gornjesavsko dolino, saj je v neposredni bližini potekala ""via Chreinariorum"" - pot Kranjčanov, ki je povezovala Kranjsko, Koroško in Furlanijo. Da sta bili ta poznorimskodobna gorenjska smer poti in naselbina na Ajdni ustrezno zavarovani ter branjeni, je bila nad sotesko Save zgrajena zidana obrambno varovalna vojaška stolpasta utrdba ali gradič. Od tod tudi drugi del ledinskega imena Gradišče.<br>Danes na vrhu hriba naletimo na razvaline obzidja, ter določene terenske značilnosti, ki so priča obstoju utrdbe v davni preteklosti. Z vrha, ki nam zaradi gozda ne nudi veliko razgleda v dolino vidimo sosednjo Ajdno, s poti pa lahko gledamo tako v Ljubljansko kotlino, kot tudi v Gornjesavsko dolino.<br>Vir: Arheološki vestnik (Arh. vest.) 48, 1997 - Arheološki drobci vojaških prvin pozne rimske dobe na Gorenjskem (Andrej Valič)."
Grilova kapela na Boču,2364,Karavanke,534,cerkev,44,1415,2,"Grilova kapela se nahaja na južnem pobočju Boča v Cerovcu pod 612 metrov visokim Grilovim hribom, enem od številnih nižjih vrhov Boča. Ob njej je travnata planjava in tukaj vodi pot višje na Boč. Postavljena v zahvalo ob uspešni ozdravitvi gospodarja Mihe Grila pred desetletji. Pred leti obnovljena, z manjšim zvonom na katerega lahko pozvonite za srečo. Prijetna točka na rogaškem delu Boča. Ob Sv. Miklavžu in Sv. Marjeti, nekje tretja duhovna nota višjega območja Boča."
Grpišca,1917,Karavanke,1676,vrh,50,1257,1,"Grpišca je 1676 m visok travnat vrh, ki se nahaja v glavnem grebenu Karavank, točneje med Kamnatim vrhom in Vošco. Z vrha, ki meji na sosednjo Avstrijo, se nam odpre lep razgled na Martuljkovo skupino gora, Razor, Prisank, greben Mojstrovk, Jalovec, Mangart, Montaž, Dobrač ter delu Dravske doline."
Gubno,479,Karavanke,2035,vrh,83,426,4,"Manj znan vrh v Karavankah se nahaja med Kepo in Dovško Babo. Na vrhu je postavljen manjši možic, ki označuje vrh. Razgled z vrha je lep proti delu Julijskih Alp in Karavankam. Lepo pa se vidi Dravska dolina na avstrijski strani."
Hajnževo sedlo,1061,Karavanke,1701,sedlo,77,582,4,"Lepo, široko, z ruševjem in travo poraslo sedlo med Košuto in Košutico - mejni greben z Avstrijo."
Hom (nad Prevaljami),2903,Karavanke,1193,vrh,6,2378,2,"Hom je 1193 metrov visok vrh, ki se nahaja med Uršljo goro in Prevaljami. Na vrhu se nahaja vpisna skrinjica z vpisno knjigo, razgled pa je zaradi gozda precej omejen in brez ""ovir"" se nam odpre le pogled v smeri Golice / Koralpe."
Hrašenska planina,459,Karavanke,1670,planina,49,1294,2,Hrašenska planina se nahaja na zahodnem delu Belščice. Na planini stoji manjša pastirska koča.
Hribarska (Huda) zijalka,1931,Karavanke,1140,,39,1550,1,"Hribarska (Huda) zijalka se nahaja pod prepadnimi ostenji hriba Huda peč nad vasjo Solčava. Ker zapisov o zijalki ni pa samo tale pripovedka. <br>V starih časih so tamkaj živele vile pogorkinje, ki pa niso mogle slišati ne zvonjenja in ne žvižganja. Tega pa niso vedeli solčavski pastirji, ki so po fratah vilinje planine pasli ovce.<br>Nekega dne je mlad pastir iz Solčave spet nagnal na frate okrog pečine gospodarjeve ovce in krave. A da bi živine v temnih hostah ne izgubil, je privezal vsakemu govedu na vrat kravji zvonec, ovcam pa je žvižgal, kadar so se le preveč razteple po obsežnih pašnikih. Kravji zvonci so zvonili, pastir pa je žvižgal in žvižgal, da so si vile, skrite v zijavki pod pečino, zatiskale ušesa in se jezile, da bodo pastirja ubile, če ga bodo le dobile.<br>Tako je pastir pasel iz dneva v dan. Nekega dne pa je najlepša ovca iz njegove črede zašla na pečino, a nazaj ni mogla. Blejala je in beketala, pastirju je bilo ovce žal, pa je po strmi frati splezal do pečine, da bi rešil ovčko.<br>Komaj pa se je približal zijavki, so iz pečine planile razjarjene vile, ga zadavile in vrgle v brezno, kjer je z razbito glavo obležal med pečevjem. Goved in drobnica pa se je zvečer sama vrnila domov.<br>Naslednji dan so Solčavani odšli na frate pastirja iskat. Klicali so ga in mu žvižgali, a nihče ga ni našel. Končno je pastirjev gospodar splezal do pečine, se ustavil pred zijavko in na vso moč zažvižgal, misleč, da bo pastirja zbudil, če je v votlini zaspal. Na njegov žvižg pa so planile iz zijavke razkačene vile pogorkinje, ga potegnile na vrh skale ter ga odondod pahnile v prepad, da je z razbito glavo obležal zraven ubitega pastirja.<br>Solčavani, ki so slišali v dolino prestrašeno kričanje, pa na pečini niso videli nič drugega ko bele meglice in gospodarja, ki je padel s skale. Pohiteli so v pečevje in tamkaj našli njega ter pastirja, oba z razbito glavo, oba mrtva.<br>Od takrat solčavski pastirji nikoli več ne pasejo niti krav niti ovac na tem hribu, ki so mu vzdeli ime »Huda peč«. Rajši pasejo drugje, kjer lahko ovcam žvižgajo brez vseh skrbi, kjer lahko krave z zvonci krog vratu zvončkljajo tja v tri dni..."
Hruška planina,1402,Karavanke,1378,"koča, planina",62,966,2,"Hruška planina je danes živa kravja planina z nadmorsko višino 1378 m, ki je dostopna z večih izhodišč v bližini Plavškega rovta nad Jesenicami in Hrušice. Na njej stoji z domačimi jedmi dobro preskrbljena planšarska koča, v kateri se radi ustavljajo gorniki, namenjeni na bližnje vrhove. Leži v zavetrni dolini ob vznožju Hruškega vrha, kjer se ob močvirnem jezercu, ki nudi bivališče racam, kačjim pastirjem in žabam, pase velika čreda živine. Od tu je možno nadaljevati izlete na Golico, Klek, Hruški Vrh, Koprivnjak in Dovško Babo. Na steni koče se nahaja tudi vpisna knjiga."
Hruški vrh,360,Karavanke,1776,vrh,84,408,9,"Hruški vrh je 1776 m visoka gora, ki se nahaja med Dovško Babo in nekoliko manj znanim Klekom. Z vrha, na katerem se nahaja manjša kapelica posvečena svetemu Izidorju, ki je zavetnik kmetov, pastirjev, živine in od leta 2001 tudi interneta, se nam odpre lep pogled proti sosednji Dovški Babi, Koprivnjaku, Kleku, Mežakli in večjemu delu Julijcev. Vrh ima vpisno skrinjico in žig."
Izvir Javornika,395,Karavanke,1000,jezero,50,1276,1,"Izvir Javornika so zajezili tako, da tu stoji manjše jezero. Voda je zelo mrzla in ima temperaturo 4-8 stopinj. Zaradi gozda okrog jezera ni razgleda."
Izvir reke Meže,2955,Karavanke,1230,,3,2444,1,"Opisan je drugi izvir reke Meže, reke, ki ima prvi izvir v Avstriji na Maroldčevi planini, a že kmalu ponikne. Izvir reke Meže na slovenski strani pa se nahaja v bližini domačije Kos, v hudourniškem grabnu reke Meže. Do izvira vodi lepo urejena pot."
Izvir Sotle,1239,Karavanke,640,,62,962,2,"Izvir reke Sotle se nahaja na južnem delu Maclja, pogorja ki se dviga južno od vasi Žetale. Izvir reke Sotle je ograjen s kamenjem, v bližini pa se nahaja tudi informativna tabla."
Javorniški slapovi,2454,Karavanke,690,slap,20,2030,1,"Nekdaj dokaj znani, a danes skoraj pozabljeni Javorniški slapovi se nahajajo na Spodnjih Počivalih - najdišču fosila Trilobit, komaj nekaj metrov stran od ceste, ki vodi z Jesenic (Trebeža) na Javorniški Rovt. Najlepši je zgornji, 7  m visok, ter do 7 m širok pahljačast slap.  Spodnje slapišče sestavljata še dva vsaj 6  m visoka slapova, ter več skočnikov. Klub temu da so skriti med stene grape in gosto grmovje, so Javorniški slapovi zagotovo prav atraktivni."
Jelenkamen,1247,Karavanke,1096,vrh,76,616,5,"Jelenkamen je vrh ki spada v severno Karavanško hribovje nad Jesenicami, zanimiv predvsem za domače ljubitelje pohodov v planine, saj si ga nekateri za svoj cilj izberejo tudi po 100 krat ali več enem v letu. Nekaj 10 metrov pod vrhom naletimo na prijetno razgledno točko, kjer se odpira pogled proti Jesenicam in Ljubljanski kotlini, ter preko planote Mežakla na Triglav. Od tu, do vrha je pot varovana tudi z jeklenicami, kar naredi izlet še bolj zanimiv.<br>Z Jelenkamna se pot navadno nadaljuje k narcisnim poljanam pri Domu na Pristavi v Javorniškem rovtu."
Jerebikovec,1259,Karavanke,1621,vrh,65,885,1,"Jerebikovec je 1621 m visoka gora, ki se dviga vzhodno od Korenskega sedla. Z deloma travnatega vrha, zaradi gozda, ki le tega obdaja ni razgleda."
Jesenik,2918,Karavanke,1199,vrh,4,2419,4,"Jesenik je 1199 metrov z gozdom poraščen visok vrh, ki se nahaja med Mežico in Podpeco."
Jeseniška planina,557,Karavanke,1380,planina,55,1132,2,"Jeseniška planina se nahaja na razglednih južnih pobočjih 1753 m visokega Kleka. S planine, na kateri stoji večja pastirska koča, se nam tako ob lepem vremenu odpre lep pogled proti Struški, Vajnežu, Stolu, Španovemu vrhu, Mežakli ter proti najvišjim vrhovom Julijskih Alp, kjer izstopata Triglav in Škrlatica."
Jureževa planina,1659,Karavanke,1488,planina,49,1289,1,"Jureževa planina je manj znana planina, ki se nahaja med Srednjim Vrhom in Vošco. S planine, na kateri stoji lovska koča, se nam odpre lep razgled na del Julijskih Alp."
Kališje,2734,Karavanke,1435,vrh,12,2215,1,"Kališje je manj znan vrh v zahodnem delu Karavank. Z vrha, na katerem se nahajajo oddajniki, se nam odpre nekaj razgleda proti Jalovcu, Poncam in Tamarju, na ostale stran pa razgled ovira gozd."
Kalvarija nad Jesenicami,1248,Karavanke,784,vrh,45,1387,2,"Kalvarija je priljubljena točka oz. vrh nad mestom Jesenice, ki je poznan bodisi kot neka vrste krajša ""romarska"" pot vernikov, ali kot cilj krajšega kondicijskega treninga domačinov. Na 784 m visokem vrhu se nahajata lesena kapelica in prijetna klopca, odkoder se nam odpira del razgleda proti mestu v dolini."
Kamnati vrh,1258,Karavanke,1658,vrh,56,1107,2,"Kamnati vrh je 1621 m visoka gora, ki se nahaja severno od Kranjske Gore. S travnatega vrha, na katerem je postavljena klop, zaradi bližnjega gozda ni razgleda. <br>Odličen razgled pa se nam odpre, če se z vrha spustimo po travnatem pobočju proti vzhodu. Po približno 5 minutah zmernega spusta stopimo na prijetno razgledišče od koder se nam odpre pogled na Julijske Alpe."
Kamnek,1118,Karavanke,873,vrh,64,904,6,"Kamnek (na zemljevidih Kamnik, zaslediti pa je tudi Kamnjek) je razgleden vrh nad Tržičem."
Kamnitnik,1551,Karavanke,1858,vrh,57,1089,2,"Kamnitnik je 1858 m visok vrh, ki se nahaja na zahodnem delu Belščice. S kamnitega vrha, katerega obdajajo prostrana travnata pobočja, se nam odpre lep razgled na zahodne Karavanke, Julijske Alpe, Jelovico in del gorenjske ravnine."
Kapelica sv. Barbare na Pejcah,1910,Karavanke,750,cerkev,36,1629,1,"Kapelica sv. Barbare na Pejcah je ena (zgornja) izmed dveh kapelic, ki stojita ob stari fužinarski poti po kateri so pred stoletji prevažali železovo rudo v dolino na Jesenice. S poti v bližini zgornje kapelice se odpre nekaj razgleda na mesto v dolini, ter proti Mali Mežakli. Nekoč je na Plavžu (zah. del Jesenic) stala cerkev sv. Barbare, ki pa so jo podrli konec 18. stoletja. Njej sta danes posvečeni kapelici na poti čez Pejce."
Kepa,97,Karavanke,2143,vrh,98,61,9,"Kepa, tudi Jepa, oz. po nemško Mittagskogel je razgledna gora v zahodnih Karavankah, ki se nahaja na mejnem grebenu med Slovenijo in Avstrijo. Z vrha, na katerem se nahaja križ (nekoliko pod vrhom, na avstrijski strani se nahaja še en) in pod njim vpisna skrinjica z žigom, se nam odpre lep razgled, ki seže vse od bližnjih Julijskih Alp, prek Karnijskih Alp do Visokih in Nizkih Tur v Avstriji."
Klek,362,Karavanke,1753,vrh,87,325,8,"Klek je 1753 m visoka gora, ki se nahaja med Hruškim vrhom in bolj znano Golico. Z vrha, ki meji med Slovenijo in Avstrijo, se nam odpre lep razgled na zahodni in osrednji del Karavank, Julijske Alpe, Visoke Ture in na del Dravske doline."
Koča na Golici,196,Karavanke,1582,"koča, planina",92,197,5,"Koča se nahaja nad gozdno mejo pod vrhom Golice, natančneje Krvavke. Od koče, ki je odprta od maja do konca poletja, se nam odpre lep razgled proti pobočjem Golice, Krvavke, Struške in večini vrhov, ki obdajajo Gornjesavsko dolino."
Koča na Ljubelju,322,Karavanke,1370,"sedlo, koča",91,235,2,"Koča na Ljubelju se nahaja ob nekdanjem mejnem prehodu Ljubelj, najstarejšemu gorskemu prelazu v Evropi (zgrajen je bil leta 1728). Od koče, ki je običajno odprta on koncih tedna, se nam odpre lep razgled po osrednjem delu Karavank, ob lepem vremenu pa razgled seže vse do Snežnika."
Koča na Naravskih ledinah,1141,Karavanke,1072,koča,60,1001,8,Koča na Naravskih ledinah se nahaja na severni strani zahodnega grebena Uršlje gore. Od koče do katere se je možno pripeljati z avtomobilom zaradi bližnjega gozda ni razgleda.
Koča na planini Preval-a,294,Karavanke,1311,"koča, planina",96,109,4,"Pastirska koča na planini Preval-a, ki je odprta preko celega leta, se nahaja ob južnih pobočjih Begunjščice (sama koča se nahaja na severni strani manj znanega Čisovca) na prevalu med dolino Drage in Šentansko dolino. S planine, ki je priljubljena izletniška točka, se nam ob lepem vremenu odpre lep pogled, ki seže od sosednje Košute, prek Dobrče (ta se vidi s severnega dela planine) do najvišjih vrhov Julijskih Alp."
Koča Pr Zdravc,251,Karavanke,1448,koča,57,1095,4,"Koča Pr Zdravc se nahaja ob bližnjem Dolu, točneje med Belo pečjo in Ženiklovcem (Veliki Javornik). Od koče se nam odpre lep pogled proti Storžiču, Grebencu, Tolstemu vrhu in grebenu Kriške gore. Koča je v zasebni lasti in ni odprtega tipa."
Koča pri izviru Završnice,278,Karavanke,1425,"koča, planina",91,220,2,Dom pri izviru Završnice znan tudi pod planinska koča Iskra na Smokuški planini stoji na razgledni planini pod Begunjščico. V poletnem času na planini pasejo živino. Od koče je lep razgled proti Begunjščici in bližnjemu Srednjemu vrhu.
Koča Vrtača,236,Karavanke,1288,koča,76,596,1,"Koča Vrtača se nahaja ob smučišču Zelenica, točneje med spodnjo iz zgornjo enosedežnico Zelenica. Od koče se nam odpre lep pogled na Košutico, Veliki vrh na Košuti ter ostenja Begunjščice in Ljubeljščice."
Kofce gora,343,Karavanke,1967,vrh,96,96,6,"Kofce gora je 1967 m visok vrh, ki se nahaja na vzhodnem delu najdaljšega slovenskega grebena. Z vrha, ki se prepadno spušča proti Avstriji, se nam odpre lep razgled na osrednje Karavanke ter del Kamniških in Savinjskih Alp."
Končnikov vrh,1276,Karavanke,2109,vrh,81,486,10,"Končnikov vrh je 2109 m visoka gora, ki se nahaja v srednjem delu Pece. S travnatega vrha je lep pogled po grebenu Pece ter goram nad Savinjsko in Dravsko dolino."
Kordeževa glava (Peca),665,Karavanke,2125,vrh,99,25,22,"Kordeževa glava bolj znana pod imenom Peca je najvišji vrh pogorja Pece. Nahaja se na meji z Avstrijo nad Mežiško dolino na Koroškem. Slovenci Peco poznamo predvsem zaradi pripovedke o kralju Matjažu in njegovi votlini na slovenski strani gore, Avstrijci pa imajo visoko v zgornja pobočja speljane žičnice tako, da jo poznajo ljubitelji smučanja. Ker v bližini Pece ni višjih vrhov je z nje lep razgled. Lepo se vidi bližnja Uršlja gora, Raduha in greben Olševe. Prav tako se vidijo najvišji vrhovi Kamniških in Savinjskih Alp. Na severno stran pa se vidijo avstrijske Alpe, kjer so nam najbližje Stubalpe-Packalpe in Seetaler Alpe."
Košutica,72,Karavanke,1968,vrh,95,132,8,"Košutica (tudi Ljubeljska Baba) je razgledna gora, ki se nahaja severno od zahodnega grebena Košute. Z vrha, na katerem je manjši križ ter vpisna skrinjica z žigom, se nam odpre lep razgled po osrednjem delu Karavank. Najlepše se vidi bližnji Veliki vrh v Košuti ter severna ostenja omenjenega grebena. Ob lepem vremenu pa razgled seže vse od Julijskih Alp do najvišjih vrhov v Visokih Turah."
